surface,route,file,display_name,purpose,persona,tier,layout_pattern,nav_entry,status,visual_issues,ia_issues,refactor_priority,notes
web,/perfil,app/(authed)/perfil/page.tsx,Perfil,Identidade do user (default sub),Ambos,Always-on,Form-shell,sidebar avatar footer,active,0,0,low,PR-L4 thin shell delega IdentitySection
web,/perfil/acesso,app/(authed)/perfil/acesso/page.tsx,Acesso,Email + providers + DangerZone,Ambos,Always-on,Form-shell,tab em layout,active,0,0,low,Thin shell
web,/perfil/endereco,app/(authed)/perfil/endereco/page.tsx,Endereco,CEP + endereco + geo,Ambos,Always-on,Form-shell,tab em layout,active,0,0,low,Thin shell
web,/perfil/notificacoes,app/(authed)/perfil/notificacoes/page.tsx,Notificacoes (perfil),Toggles email,Ambos,Always-on,Form-shell,tab em layout,active,0,0,low,Thin shell
web,/perfil/pessoa-fisica,app/(authed)/perfil/pessoa-fisica/page.tsx,CPF,CPF + gender + birthDate,Player,Always-on,Form-shell,tab em layout,active,0,0,low,Thin shell
web,/perfil/preferencias,app/(authed)/perfil/preferencias/page.tsx,Preferencias,Dark mode + sport prefs,Ambos,Always-on,Form-shell,tab em layout,active,0,0,low,Thin shell
web,/admin/aprovacoes,app/(authed)/admin/aprovacoes/page.tsx,Cadastros de Klubs,Listar pendentes PJ/PF,SUPER_ADMIN,Always-on,List,sidebar Administrativa,active,minimas,bem labeled debounce 300ms,low,Estrutura limpa
web,/admin/aprovacoes/[id],app/(authed)/admin/aprovacoes/[id]/page.tsx,Detalhe Cadastro,Revisar CNPJ slug aprovar/rejeitar,SUPER_ADMIN,Always-on,Detail,/admin/aprovacoes,active,window.prompt e confirm 377-378 + modal rejeicao inline 408 + slug-conflict warning amber,Zona perigosa sem warning icon + sticky bottom nao testado <600px,medium,495 linhas
web,/admin/cadastros,app/(authed)/admin/cadastros/page.tsx,Redirect stub,Backward-compat /admin/aprovacoes,SUPER_ADMIN,Always-on,Redirect,link legacy,active,0,0,low,10 linhas
web,/admin/platform-admins,app/(authed)/admin/platform-admins/page.tsx,Platform Admins,Owner concede/revoga PLATFORM_ADMIN,PLATFORM_OWNER,Always-on,List+Form,sidebar Administrativa Owner only,active,window.confirm 277 + access-denied minimalista,quota hardcoded 3 sem explicacao + toast sem auto-dismiss,medium,337 linhas
web,/k/[klubSlug]/onboarding,app/(authed)/k/[klubSlug]/onboarding/page.tsx,Onboarding Redirect,Legacy redirect /configurar?tab=modalidades,Klub Admin,Always-on,Redirect,bookmarks legacy,active,0,0,low,14 linhas
web,/k/[klubSlug]/quadras,app/(authed)/k/[klubSlug]/quadras/page.tsx,Quadras Redirect,Legacy redirect /configurar/quadras,Klub Admin,Always-on,Redirect,bookmarks,active,0,0,low,13 linhas
web,/k/[klubSlug]/editar,app/(authed)/k/[klubSlug]/editar/page.tsx,Editar Redirect,Legacy redirect /configurar,Klub Admin,Always-on,Redirect,bookmarks,active,0,0,low,14 linhas
web,/k/[klubSlug]/dashboard,app/(authed)/k/[klubSlug]/dashboard/page.tsx,Dashboard Klub,Hub KPIs e atividade,Klub Admin>Player,Always-on,Dashboard,sidebar Klubs > [slug],active,mock R$ 64.8 linha 90 + hsl(142_71%_32%) linha 561 + style hsl inline 634 + hsl(38_92%_28%) 648,label Gerenciar Klub ad-hoc + status badges replace _,high,721 linhas; mock KPI critico
web,/k/[klubSlug]/extensions-pending,app/(authed)/k/[klubSlug]/extensions-pending/page.tsx,Extensoes Pendentes,Admin queue extensoes booking,Klub Admin,Always-on,List,dashboard card,active,hsl(142_71%_32%) success alert 90 + window.prompt 171 + amber badge,copy passive voice 84-86,medium,246 linhas
web,/k/[klubSlug]/modalidades,app/(authed)/k/[klubSlug]/modalidades/page.tsx,Modalidades,Player solicita; admin aprova,Ambos,Always-on,Grid+Tab,dashboard ou sidebar,active,h-35 typo? linha 173 + badge laranja hardcoded 277 + className complexa 300,reinventa Tabs,medium,443 linhas
web,/k/[klubSlug]/reservar,app/(authed)/k/[klubSlug]/reservar/page.tsx,Reservar Quadra,Wizard 3-step booking mobile-first,Player,Always-on,Wizard,dashboard CTA Reservar,active,back-link inline 161 + sticky md:left-64 hardcoded 225 + hsl(142_71%_32%) success 633,copy passive 336 + success link slug,high,857 linhas; mobile-first 100%
web,/k/[klubSlug]/solicitacoes,app/(authed)/k/[klubSlug]/solicitacoes/page.tsx,Solicitacoes Entrada,Admin queue membership requests,Klub Admin / SPORTS_COMMITTEE,Always-on,List+Tabs+Modal,dashboard card,active,back-link 52 + hsl(142_71%_32%) 93/255/401 + RejectModal inline 324,header copy ternario longo + reinventa Tabs,high,423 linhas; 3 hsl hardcoded
web,/k/[klubSlug]/configurar,app/(authed)/k/[klubSlug]/configurar/page.tsx,Configurar - Identidade,Default sub IdentidadeTab,KLUB_OWNER/ADMIN,Always-on,Form-shell,tabs em layout,active,delegated _components 99/115/129,vocab "Clube" em select option,low,9 linhas thin shell
web,/k/[klubSlug]/configurar/contato,app/(authed)/k/[klubSlug]/configurar/contato/page.tsx,Configurar - Contato,Email phone website,KLUB_OWNER/ADMIN,Always-on,Form-shell,tab,active,delegated minimas,0,low,9 linhas
web,/k/[klubSlug]/configurar/equipe,app/(authed)/k/[klubSlug]/configurar/equipe/page.tsx,Configurar - Equipe,Roles + TransferAdmin,KLUB_ADMIN,Always-on,Form-shell,tab restrito,active,delegated window.confirm _components:583,Banner texto redundante,low,19 linhas
web,/k/[klubSlug]/configurar/legal,app/(authed)/k/[klubSlug]/configurar/legal/page.tsx,Configurar - Legal,Slug+CNPJ Platform-only,PLATFORM,Always-on,Form-shell,tab restrito,active,delegated amber-warning OK,0,low,19 linhas
web,/k/[klubSlug]/configurar/localizacao,app/(authed)/k/[klubSlug]/configurar/localizacao/page.tsx,Configurar - Localizacao,CEP + endereco grid 3-col,KLUB_OWNER/ADMIN,Always-on,Form-shell,tab,active,delegated minimas,0,low,9 linhas
web,/k/[klubSlug]/configurar/modalidades,app/(authed)/k/[klubSlug]/configurar/modalidades/page.tsx,Configurar - Modalidades,Sport toggle on/off,KLUB_OWNER/ADMIN,Always-on,Form-shell,tab,active,delegated minimas,0,low,9 linhas
web,/k/[klubSlug]/configurar/perigosa,app/(authed)/k/[klubSlug]/configurar/perigosa/page.tsx,Configurar - Zona Perigosa,Soft delete Klub,PLATFORM,Always-on,Form-shell,tab restrito,active,delegated window.prompt 377 e window.confirm 379,destrutivo UI nativa fragil,high,19 linhas; soft delete 1500ms redirect
web,/k/[klubSlug]/configurar/quadras,app/(authed)/k/[klubSlug]/configurar/quadras/page.tsx,Configurar - Quadras,CRUD spaces,KLUB_OWNER/ADMIN,Always-on,Form-shell,tab,active,delegated Modal custom 1280-1300 + window.confirm delete 775,0,medium,9 linhas
web,/k/[klubSlug]/configurar/visibilidade,app/(authed)/k/[klubSlug]/configurar/visibilidade/page.tsx,Configurar - Visibilidade,Toggle discoverable + accessMode,KLUB_OWNER/ADMIN,Always-on,Form-shell,tab,active,delegated minimas,0,low,9 linhas
web,/k/[klubSlug]/sports/[sportCode]/comissao,app/(authed)/k/[klubSlug]/sports/[sportCode]/comissao/page.tsx,Comissao e Operacao,Listar staff/comissao do sport,Player/KLUB_ADMIN,Always-on,List,sport dashboard card,active,text-[10px] e text-[13.5px] ad-hoc 99/170,copy clara,low,197 linhas
web,/k/[klubSlug]/sports/[sportCode]/dashboard,app/(authed)/k/[klubSlug]/sports/[sportCode]/dashboard/page.tsx,Sport Hub,3 cards Torneios/Rankings/Comissao,Ambos,Always-on,Hub,sport picker,active,minimas,placeholder per PR-H3,low,109 linhas
web,/k/[klubSlug]/sports/[sportCode]/enroll,app/(authed)/k/[klubSlug]/sports/[sportCode]/enroll/page.tsx,Request Sport Entry,Player solicita aprovacao no sport,Player,Always-on,Form,blocked sport access,active,hsl(142_71%_32%) success linha 85,0,medium,124 linhas
web,/k/[klubSlug]/sports/[sportCode]/rankings,app/(authed)/k/[klubSlug]/sports/[sportCode]/rankings/page.tsx,Rankings List,Listar rankings + Criar (admin),Player/KLUB_ADMIN,Always-on,List+Modal,sport dashboard card,active,inputCls com rounded-[10px] linha 333,0,low,428 linhas
web,/k/[klubSlug]/sports/[sportCode]/rankings/[rankingId],app/(authed)/k/[klubSlug]/sports/[sportCode]/rankings/[rankingId]/page.tsx,Ranking Detail,Detalhe ranking + match casual,Player/KLUB_ADMIN,Always-on,Detail+Modal,rankings list,active,formatNowLocal sem TZ 550-552 + hsl(142_71%_32%) 646 + inputCls reused 554,0,medium,654 linhas
web,/k/[klubSlug]/sports/[sportCode]/torneios,app/(authed)/k/[klubSlug]/sports/[sportCode]/torneios/page.tsx,Tournaments List,Agrupados live/upcoming/past,Ambos,Always-on,List,sport dashboard card,active,animate-pulse OK + text-[10px] badge,0,low,288 linhas
web,/k/[klubSlug]/sports/[sportCode]/torneios/novo,app/(authed)/k/[klubSlug]/sports/[sportCode]/torneios/novo/page.tsx,Create Tournament Wizard,7-step form criar torneio,KLUB_ADMIN/SPORT_COMMISSION,Always-on,Form (long),torneios list button,active,SEM Stepper visual + sem draft save + nested CreatePointsSchemaModal 175 linhas + sem TZ + sem cancel button + date range weak + 159 text-[Npx] no subset,DEFAULT_POINT_TEMPLATE PT hardcoded + category editor cramped mobile,critical,931 linhas A MAIOR
web,/k/[klubSlug]/sports/[sportCode]/torneios/[tournamentId],app/(authed)/k/[klubSlug]/sports/[sportCode]/torneios/[tournamentId]/page.tsx,Tournament Overview,Datas + categorias + cancel banner,Ambos,Always-on,Detail-shell,tournament tabs default,active,text-xs e text-sm tokens (ok!),TZ-aware via formatDateInTz,low,119 linhas (PR-L2)
web,/k/[klubSlug]/sports/[sportCode]/torneios/[tournamentId]/chave,app/(authed)/k/[klubSlug]/sports/[sportCode]/torneios/[tournamentId]/chave/page.tsx,Tournament Bracket,Render bracket via BracketView,Ambos,Always-on,Detail-shell,tournament tabs,active,delegated,0,low,69 linhas (PR-L2)
web,/k/[klubSlug]/sports/[sportCode]/torneios/[tournamentId]/inscritos,app/(authed)/k/[klubSlug]/sports/[sportCode]/torneios/[tournamentId]/inscritos/page.tsx,Tournament Entries,Lista entries + admin actions,Ambos,Always-on,Detail-shell,tournament tabs,active,delegated,0,low,69 linhas (PR-L2)
web,/k/[klubSlug]/sports/[sportCode]/torneios/[tournamentId]/operacoes,app/(authed)/k/[klubSlug]/sports/[sportCode]/torneios/[tournamentId]/operacoes/page.tsx,Tournament Operations,Draw schedule edit cancel,Klub Admin,Always-on,Detail-shell+gate,tournament tabs restrito,active,delegated,0,low,24 linhas (PR-L2)
